Unnamed: 0,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15
lab,0.624,0.592,0.588,0.6545,0.657,0.657,0.63275,0.58075,0.586,0.61,0.624,0.638875,0.635875,0.68725,0.68025,0.673125,0.7005,0.685,0.652875,0.66175,0.620375,0.644625,0.639875,0.632875,0.6325,0.633625,0.63575,0.652625,0.65575,0.65725,0.66225,0.6845,0.658625,0.66325,0.6565,0.6405,0.6235,0.609875,0.668125,0.669375,0.660875,0.644125
Hung Parliament: Largest Party lab,0.207,0.196,0.203,0.1915,0.1915,0.1915,0.192,0.21775,0.21625,0.2055,0.20125,0.201375,0.21025,0.184,0.186625,0.193625,0.182,0.191,0.200625,0.19725,0.214875,0.2045,0.209375,0.20975,0.215,0.212125,0.213125,0.206375,0.20825,0.20175,0.200625,0.195,0.197875,0.202375,0.2045,0.21025,0.216875,0.21925,0.20575,0.201125,0.199375,0.21475
Hung Parliament: Largest Party con,0.101,0.103,0.1235,0.089,0.0885,0.0885,0.0935,0.106,0.1075,0.096,0.095875,0.08525,0.09125,0.072625,0.078375,0.074875,0.07025,0.072125,0.080875,0.079,0.09075,0.08325,0.086,0.0885,0.088,0.087375,0.0835,0.08125,0.08,0.088,0.076875,0.071,0.08225,0.07775,0.083,0.087,0.096375,0.09775,0.0765,0.078125,0.082625,0.083625
con,0.068,0.107,0.085,0.063,0.06,0.06,0.078,0.09225,0.088,0.08525,0.076875,0.072375,0.0615,0.055,0.052875,0.05725,0.0455,0.050125,0.063875,0.06025,0.072625,0.06675,0.063625,0.0665,0.0635,0.064875,0.06575,0.057375,0.054,0.052125,0.059125,0.04875,0.059875,0.05475,0.05475,0.06125,0.06225,0.072125,0.047875,0.050625,0.055875,0.056875
conSeats,188.0,201.0,199.0,181.0,176.0,176.0,184.0,201.0,196.0,200.0,188.0,176.0,187.0,182.0,169.0,168.0,159.0,170.0,179.0,181.0,189.0,188.0,189.0,186.0,190.0,187.0,188.0,184.0,177.0,177.0,178.0,175.0,184.0,180.0,185.0,189.0,195.0,196.0,171.0,177.0,185.0,192.0
labSeats,368.0,353.0,349.0,361.0,363.0,363.0,360.0,340.0,347.0,344.0,349.0,363.0,361.0,367.0,377.0,375.0,383.0,377.0,361.0,364.0,356.0,360.0,360.0,354.0,352.0,351.0,359.0,360.0,360.0,366.0,363.0,368.0,367.0,360.0,357.0,357.0,352.0,350.0,369.0,364.0,366.0,359.0
libSeats,33.0,31.0,30.0,28.0,38.0,38.0,33.0,32.0,38.0,33.0,41.0,36.0,30.0,27.0,30.0,31.0,38.0,28.0,36.0,28.0,30.0,26.0,28.0,39.0,34.0,34.0,33.0,36.0,35.0,30.0,33.0,34.0,24.0,33.0,32.0,32.0,28.0,26.0,35.0,35.0,35.0,25.0
refSeats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natSeats,43.0,46.0,54.0,60.0,54.0,54.0,54.0,58.0,48.0,54.0,54.0,57.0,53.0,54.0,54.0,56.0,49.0,55.0,56.0,58.0,53.0,53.0,52.0,53.0,54.0,58.0,52.0,51.0,58.0,58.0,53.0,53.0,56.0,57.0,57.0,53.0,53.0,58.0,55.0,54.0,45.0,55.0
othSeats,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,5.0,3.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0
